ph_model,nhid,ctxt,layers,ptdecay,ftdecay,cv_acc,tr_acc
xwtri,500,6,1,0.001,0.001,47.92,59.42
xwtri,500,6,1,0.001,0.002,47.98,59.37
xwtri,500,6,1,0.001,0.003,48.10,60.14
xwtri,500,6,1,0.001,0.01,48.61,59.93
xwtri,500,6,1,0.001,0.00001,47.79,59.45
xwtri,500,6,1,0.001,0.1,47.96,52.35
xwtri,500,6,1,0.001,0.0001,47.80,59.46
xwtri,500,6,1,0.001,0.0005,47.84,59.44
xwtri,500,6,1,0.001,0.005,48.16,60.29
xwtri,500,6,3,0.001,0.001,49.54,62.45
xwtri,500,6,3,0.001,0.002,50.06,63.16
xwtri,500,6,3,0.001,0.003,50.26,62.80
xwtri,500,6,3,0.001,0.01,49.83,59.09
xwtri,500,6,3,0.001,0.00001,49.35,62.64
xwtri,500,6,3,0.001,0.1,47.84,51.07
xwtri,500,6,3,0.001,0.0001,49.38,62.62
xwtri,500,6,3,0.001,0.0005,50.02,63.23
xwtri,500,6,5,0.001,0.001,49.93,64.79
xwtri,500,6,5,0.001,0.002,49.98,60.27
xwtri,500,6,5,0.001,0.003,50.01,60.13
xwtri,500,6,5,0.001,0.01,49.15,59.45
xwtri,500,6,5,0.001,0.00001,49.64,59.48
xwtri,500,6,5,0.001,0.1,48.01,51.77
xwtri,500,6,5,0.001,0.0001,49.89,60.64
xwtri,500,6,5,0.001,0.0005,50.13,66.05
xwtri,500,6,7,0.001,0.001,49.96,63.39
xwtri,500,6,7,0.001,0.002,50.02,62.28
xwtri,500,6,7,0.001,0.003,50.27,63.02
xwtri,500,6,7,0.001,0.01,50.74,61.67
xwtri,500,6,7,0.001,0.00001,49.78,63.57
xwtri,500,6,7,0.001,0.1,48.11,51.91
xwtri,500,6,7,0.001,0.0001,49.79,63.55
xwtri,500,6,7,0.001,0.0005,49.87,63.49
xwtri,500,6,9,0.001,0.001,48.68,60.95
xwtri,500,6,9,0.001,0.002,48.79,60.74
xwtri,500,6,9,0.001,0.003,48.86,60.53
xwtri,500,6,9,0.001,0.01,49.26,59.00
xwtri,500,6,9,0.001,0.00001,49.41,62.15
xwtri,500,6,9,0.001,0.1,47.46,51.42
xwtri,500,6,9,0.001,0.0001,49.42,62.13
xwtri,500,6,9,0.001,0.0005,48.58,61.04
xwtri,500,6,9,0.001,0.005,49.05,60.09
xwtri,500,6,9,0.001,0.05,49.07,54.88
mono,500,6,1,0.001,0.001,59.55,67.53
mono,500,6,1,0.001,0.002,59.63,67.55
mono,500,6,1,0.001,0.003,59.71,67.57
mono,500,6,1,0.001,0.01,60.18,67.63
mono,500,6,1,0.001,0.00001,59.47,67.50
mono,500,6,1,0.001,0.1,60.44,64.52
mono,500,6,1,0.001,0.0001,59.49,67.50
mono,500,6,1,0.001,0.0005,59.54,67.51
mono,500,6,3,0.001,0.001,61.71,71.18
mono,500,6,3,0.001,0.002,61.64,69.92
mono,500,6,3,0.001,0.003,61.91,69.86
mono,500,6,3,0.001,0.01,62.21,69.41
mono,500,6,3,0.001,0.00001,61.23,69.00
mono,500,6,3,0.001,0.1,60.71,63.71
mono,500,6,3,0.001,0.0001,61.38,69.95
mono,500,6,5,0.001,0.001,62.38,72.58
mono,500,6,5,0.001,0.002,62.50,72.48
mono,500,6,5,0.001,0.003,62.55,72.39
mono,500,6,5,0.001,0.01,62.69,71.00
mono,500,6,5,0.001,0.00001,62.38,72.70
mono,500,6,5,0.001,0.1,60.94,64.47
mono,500,6,5,0.001,0.0001,62.37,72.69
mono,500,6,7,0.001,0.001,62.41,73.05
mono,500,6,7,0.001,0.002,62.46,72.95
mono,500,6,7,0.001,0.003,62.54,72.79
mono,500,6,7,0.001,0.01,63.11,72.33
mono,500,6,7,0.001,0.00001,62.37,73.19
mono,500,6,7,0.001,0.1,60.67,64.72
mono,500,6,7,0.001,0.0001,62.33,73.18
mono,500,6,9,0.001,0.001,62.27,73.32
mono,500,6,9,0.001,0.002,62.33,73.20
mono,500,6,9,0.001,0.003,62.57,73.90
mono,500,6,9,0.001,0.01,62.71,72.04
mono,500,6,9,0.001,0.00001,62.34,74.36
mono,500,6,9,0.001,0.1,61.18,65.68
mono,500,6,9,0.001,0.0001,62.35,74.34
mono,500,6,9,0.001,0.0005,62.17,73.38
mono,500,6,9,0.001,0.005,62.50,73.70
mono,500,6,9,0.001,0.05,62.46,68.41
xwbir,500,6,1,0.001,0.001,52.93,62.99
xwbir,500,6,1,0.001,0.002,53.10,62.98
xwbir,500,6,1,0.001,0.003,53.16,62.97
xwbir,500,6,1,0.001,0.01,53.90,62.83
xwbir,500,6,1,0.001,0.00001,52.98,62.41
xwbir,500,6,1,0.001,0.1,54.17,58.08
xwbir,500,6,1,0.001,0.0001,52.87,62.98
xwbir,500,6,1,0.001,0.0005,52.92,62.98
xwbir,500,6,1,0.001,0.005,53.44,62.94
xwbir,500,6,1,0.001,0.05,54.83,60.65
xwbir,500,6,3,0.001,0.001,54.87,65.35
xwbir,500,6,3,0.001,0.002,55.46,66.40
xwbir,500,6,3,0.001,0.003,55.42,65.21
xwbir,500,6,3,0.001,0.01,56.00,64.86
xwbir,500,6,3,0.001,0.00001,55.18,65.47
xwbir,500,6,3,0.001,0.1,53.53,56.84
xwbir,500,6,3,0.001,0.0001,55.08,65.45
xwbir,500,6,3,0.001,0.0005,55.16,65.42
xwbir,500,6,3,0.001,0.005,55.52,65.01
xwbir,500,6,3,0.001,0.05,55.26,59.99
xwbir,500,6,5,0.001,0.001,56.10,68.12
xwbir,500,6,5,0.001,0.002,56.15,67.10
xwbir,500,6,5,0.001,0.003,56.20,66.95
xwbir,500,6,5,0.001,0.01,56.43,65.42
xwbir,500,6,5,0.001,0.00001,55.93,67.42
xwbir,500,6,5,0.001,0.1,53.95,57.29
xwbir,500,6,5,0.001,0.0001,55.92,67.40
xwbir,500,6,5,0.001,0.0005,56.02,67.34
xwbir,500,6,5,0.001,0.005,56.28,66.14
xwbir,500,6,5,0.001,0.05,55.69,60.66
xwbir,500,6,7,0.001,0.001,55.83,67.69
xwbir,500,6,7,0.001,0.002,55.92,67.54
xwbir,500,6,7,0.001,0.003,56.05,67.38
xwbir,500,6,7,0.001,0.01,56.47,66.26
xwbir,500,6,7,0.001,0.00001,55.68,67.85
xwbir,500,6,7,0.001,0.1,54.45,58.39
xwbir,500,6,7,0.001,0.0001,55.67,67.83
xwbir,500,6,7,0.001,0.0005,55.75,67.77
xwbir,500,6,7,0.001,0.005,56.13,66.69
xwbir,500,6,7,0.001,0.05,55.72,61.36
xwbir,500,6,9,0.001,0.001,55.43,66.19
xwbir,500,6,9,0.001,0.002,55.55,66.32
xwbir,500,6,9,0.001,0.003,55.43,65.40
xwbir,500,6,9,0.001,0.01,55.69,64.70
xwbir,500,6,9,0.001,0.00001,55.30,65.67
xwbir,500,6,9,0.001,0.1,54.15,58.00
xwbir,500,6,9,0.001,0.0001,55.37,66.28
xwbir,500,6,9,0.001,0.0005,55.41,66.24
xwbir,500,6,9,0.001,0.005,55.48,65.21
xwbir,500,6,9,0.001,0.05,55.53,61.31
xwbil,500,6,1,0.001,0.001,53.60,62.75
xwbil,500,6,1,0.001,0.002,53.70,62.75
xwbil,500,6,1,0.001,0.003,53.82,62.74
xwbil,500,6,1,0.001,0.01,54.46,62.99
xwbil,500,6,1,0.001,0.00001,53.55,63.07
xwbil,500,6,1,0.001,0.1,54.42,58.50
xwbil,500,6,1,0.001,0.0001,53.50,62.74
xwbil,500,6,1,0.001,0.0005,53.56,62.75
xwbil,500,6,1,0.001,0.005,54.00,63.08
xwbil,500,6,1,0.001,0.05,55.30,61.10
xwbil,500,6,3,0.001,0.001,56.16,68.41
xwbil,500,6,3,0.001,0.002,56.34,66.86
xwbil,500,6,3,0.001,0.003,56.38,66.81
xwbil,500,6,3,0.001,0.01,57.45,67.23
xwbil,500,6,3,0.001,0.00001,56.23,68.44
xwbil,500,6,3,0.001,0.1,54.60,57.74
xwbil,500,6,3,0.001,0.0001,56.28,68.47
xwbil,500,6,3,0.001,0.0005,56.34,68.34
xwbil,500,6,3,0.001,0.005,56.69,67.78
xwbil,500,6,3,0.001,0.05,56.37,61.06
xwbil,500,6,5,0.001,0.001,49.91,45.65
xwbil,500,6,5,0.001,0.002,56.88,67.10
xwbil,500,6,5,0.001,0.003,56.92,68.02
xwbil,500,6,5,0.001,0.01,57.20,65.98
xwbil,500,6,5,0.001,0.00001,56.75,68.33
xwbil,500,6,5,0.001,0.1,55.06,58.67
xwbil,500,6,5,0.001,0.0001,56.90,69.11
xwbil,500,6,5,0.001,0.0005,56.86,68.27
xwbil,500,6,5,0.001,0.005,56.91,66.39
xwbil,500,6,5,0.001,0.05,56.62,61.66
xwbil,500,6,7,0.001,0.001,56.70,69.43
xwbil,500,6,7,0.001,0.002,56.76,69.21
xwbil,500,6,7,0.001,0.003,56.87,69.01
xwbil,500,6,7,0.001,0.01,57.23,67.47
xwbil,500,6,7,0.001,0.00001,56.60,69.63
xwbil,500,6,7,0.001,0.1,55.08,58.84
xwbil,500,6,7,0.001,0.0001,56.61,69.61
xwbil,500,6,7,0.001,0.0005,56.63,69.51
xwbil,500,6,7,0.001,0.005,57.08,68.61
xwbil,500,6,7,0.001,0.05,56.67,62.00
xwbil,500,6,9,0.001,0.001,56.41,69.57
xwbil,500,6,9,0.001,0.002,56.53,69.37
xwbil,500,6,9,0.001,0.003,56.73,69.16
xwbil,500,6,9,0.001,0.01,57.49,68.53
xwbil,500,6,9,0.001,0.00001,56.27,69.76
xwbil,500,6,9,0.001,0.1,54.89,58.86
xwbil,500,6,9,0.001,0.0001,56.26,69.74
xwbil,500,6,9,0.001,0.0005,56.33,69.67
xwbil,500,6,9,0.001,0.005,56.86,68.73
xwbil,500,6,9,0.001,0.05,56.09,61.89
xwtri,500,4,9,0.001,0.001,49.00,59.85
xwtri,500,4,9,0.001,0.002,48.96,59.57
xwtri,500,4,9,0.001,0.003,49.05,59.40
xwtri,500,4,9,0.001,0.01,45.90,54.07
xwtri,500,4,9,0.001,0.00001,48.92,59.99
xwtri,500,4,9,0.001,0.1,46.44,49.59
xwtri,500,4,9,0.001,0.0001,48.89,60.43
xwtri,500,4,9,0.001,0.0005,48.90,60.36
xwtri,500,4,9,0.001,0.005,47.52,58.06
xwtri,500,4,9,0.001,0.05,48.52,53.33
mono,500,4,9,0.001,0.001,62.32,72.57
mono,500,4,9,0.001,0.002,62.37,72.13
mono,500,4,9,0.001,0.003,62.48,72.31
mono,500,4,9,0.001,0.01,62.74,71.58
mono,500,4,9,0.001,0.00001,62.13,72.37
mono,500,4,9,0.001,0.1,60.67,64.49
mono,500,4,9,0.001,0.0001,62.13,72.36
mono,500,4,9,0.001,0.0005,62.27,73.50
mono,500,4,9,0.001,0.005,62.70,72.66
mono,500,4,9,0.001,0.05,62.07,67.17
xwbir,500,4,1,0.001,0.001,53.06,61.17
xwbir,500,4,1,0.001,0.002,53.10,61.15
xwbir,500,4,1,0.001,0.003,53.16,61.14
xwbir,500,4,1,0.001,0.01,53.71,61.12
xwbir,500,4,1,0.001,0.00001,52.99,61.17
xwbir,500,4,1,0.001,0.1,53.03,56.37
xwbir,500,4,1,0.001,0.0001,52.99,61.17
xwbir,500,4,1,0.001,0.0005,53.02,61.18
xwbir,500,4,3,0.001,0.001,54.85,63.14
xwbir,500,4,3,0.001,0.002,54.92,63.04
xwbir,500,4,3,0.001,0.003,55.23,63.91
xwbir,500,4,3,0.001,0.01,55.80,63.12
xwbir,500,4,3,0.001,0.00001,54.76,63.88
xwbir,500,4,5,0.001,0.001,55.65,65.38
xwbir,500,4,5,0.001,0.002,55.71,64.96
xwbir,500,4,5,0.001,0.003,55.81,65.11
xwbir,500,4,5,0.001,0.01,55.99,63.78
xwbir,500,4,7,0.001,0.001,55.65,66.29
xwbir,500,4,7,0.001,0.002,55.65,66.12
xwbir,500,4,7,0.001,0.003,55.96,67.08
xwbir,500,4,7,0.001,0.01,56.42,66.24
xwbir,500,4,7,0.001,0.00001,55.44,66.11
xwbir,500,4,9,0.001,0.001,55.13,65.36
xwbir,500,4,9,0.001,0.002,55.23,65.23
xwbir,500,4,9,0.001,0.003,55.30,65.12
xwbir,500,4,9,0.001,0.01,56.04,65.04
xwbir,500,4,9,0.001,0.00001,55.10,65.34
xwbir,500,4,9,0.001,0.1,53.17,56.25
xwbir,500,4,9,0.001,0.0001,55.10,65.33
xwbir,500,4,9,0.001,0.0005,55.13,65.42
xwbir,500,4,9,0.001,0.005,55.51,65.37
xwbir,500,4,9,0.001,0.05,55.24,60.10
xwbil,500,4,1,0.001,0.001,53.65,61.52
xwbil,500,4,1,0.001,0.002,53.77,61.52
xwbil,500,4,1,0.001,0.003,53.87,61.51
xwbil,500,4,1,0.001,0.01,54.30,61.34
xwbil,500,4,1,0.001,0.00001,53.71,61.88
xwbil,500,4,1,0.001,0.1,53.57,56.96
xwbil,500,4,1,0.001,0.0001,53.72,61.87
xwbil,500,4,1,0.001,0.0005,53.63,61.52
xwbil,500,4,1,0.001,0.005,54.00,61.48
xwbil,500,4,3,0.001,0.001,55.92,65.66
xwbil,500,4,3,0.001,0.002,56.02,64.68
xwbil,500,4,3,0.001,0.003,56.30,65.60
xwbil,500,4,3,0.001,0.01,56.65,64.38
xwbil,500,4,3,0.001,0.00001,55.00,64.34
xwbil,500,4,3,0.001,0.1,53.41,55.91
xwbil,500,4,5,0.001,0.001,56.61,66.33
xwbil,500,4,5,0.001,0.002,56.78,66.30
xwbil,500,4,5,0.001,0.003,56.78,65.36
xwbil,500,4,5,0.001,0.01,56.79,64.41
xwbil,500,4,7,0.001,0.001,56.54,67.62
xwbil,500,4,7,0.001,0.002,56.64,67.44
xwbil,500,4,7,0.001,0.003,56.78,68.28
xwbil,500,4,7,0.001,0.01,56.92,65.43
xwbil,500,4,7,0.001,0.00001,56.45,67.82
xwbil,500,4,7,0.001,0.1,53.96,57.39
xwbil,500,4,9,0.001,0.001,56.13,67.68
xwbil,500,4,9,0.001,0.002,56.53,69.18
xwbil,500,4,9,0.001,0.003,56.61,68.93
xwbil,500,4,9,0.001,0.01,56.60,65.56
xwbil,500,4,9,0.001,0.00001,56.25,69.63
xwbil,500,4,9,0.001,0.1,54.49,57.76
xwbil,500,4,9,0.001,0.0001,56.16,69.13
xwbil,500,4,9,0.001,0.0005,56.23,70.02
xwbil,500,4,9,0.001,0.005,56.66,67.74
xwbil,500,4,9,0.001,0.05,55.53,60.41
xwtri,500,2,9,0.001,0.001,47.67,57.24
xwtri,500,2,9,0.001,0.002,47.77,57.08
mono,500,2,9,0.001,0.001,61.50,71.33
mono,500,2,9,0.001,0.002,61.71,71.66
xwbir,500,2,9,0.001,0.001,54.53,62.48
xwbil,500,2,9,0.001,0.001,54.85,61.95
